pricing_now,pricing_was,pricing_savePercent,pricing_unit_quantity,pricing_unit_ofMeasureQuantity,pricing_unit_ofMeasureUnits,pricing_unit_price,pricing_unit_ofMeasureType,pricing_comparable,pricing_promotionUri,pricing_onlineSpecial,availability,imageUris_0_altText,imageUris_0_type,imageUris_0_uri,locations_0_aisleSide,locations_0_description,locations_0_facing,locations_0_aisle,locations_0_order,locations_0_indoorCoordinates_productX,locations_0_indoorCoordinates_productY,id,name,brand,restrictions,description,size,isWeightRangeApplied,pricing_promotionType,pricing_endsIn,locations_1_aisleSide,locations_1_description,locations_1_facing,locations_1_aisle,locations_1_order,locations_1_indoorCoordinates_productX,locations_1_indoorCoordinates_productY,multiBuyPromotion_type,multiBuyPromotion_id,multiBuyPromotion_minQuantity,multiBuyPromotion_reward,multiBuyPromotion_unitPriceDisplay,pricing_priceDescription
2.7,0.0,0,10,1,ea,0.27,ea,$0.27/ 1ea,,False,available,,default,/3/341792.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,341792,Earl Grey Tea Bags 10 Pack,Twinings,,TWININGS TEA BAGS:EARL GREY:.:10 PACK,20g,False,,,,,,,,,,MultibuyMultiSku,729864649,2,2.5,$0.25/ 1ea,
46.0,0.0,0,1000,100,g,4.6,ea,$4.60/ 100g,,False,available,,default,/4/443770.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1670.13,443770,Special Italian Blend Coffee Beans,Vittoria,,VITTORIA SPECIAL ITALIAN BLEND BEANS 1KG,1kg,False,,,,,,,,,,,,,,,
7.5,0.0,0,20,1,ea,0.38,ea,$0.38/ 1ea,,False,available,,default,/4/489454.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,489454,Seasonings Tea Bags Herb Sleepytime,Celestial,,CELESTIAL SEASONINGS SLEEPYTIME TEA BAGS 20PK,20 Pack,False,,,,,,,,,,,,,,,
5.6,0.0,0,100,1,ea,0.06,ea,$0.06/ 1ea,,False,available,,default,/4/496507.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,496507,English Breakfast Tea Bags Teacup,Nerada,,NERADA ENGLISH BREAKFAST TEA BAGS TEACUP 100PK,100 Pack,False,,,,,,,,,,,,,,,
23.0,0.0,0,500,100,g,4.6,ea,$4.60/ 100g,,False,available,,default,/1/1032319.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1670.13,1032319,Signature Blend Coffee Beans,Caffe Ducale,,CAFFE DUCALE SIGNATURE BLEND COFFEE BEANS 500G,500g,False,,,,,,,,,,,,,,,
7.5,0.0,0,125,100,g,6.0,ea,$6.00/ 100g,,False,available,,default,/3/344597.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,344597,English Breakfast Leaf Tea,Twinings,,TWININGS ENGLISH BREAKFST LOOSE LEAF TEA 125 GRAM,125g,False,,,,,,,,,,,,,,,
7.9,0.0,0,10,1,ea,0.79,ea,$0.79/ 1ea,,False,available,,default,/1/1049388.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1487.13,1049388,99% Sugar Free Cappuccino Coffee Sachets,Moccona,,MOCCONA 99% SUGAR FREE CAPPUCCINO COFFEE SACHETS 10 PACK,10 Pack,False,,,,,,,,,,,,,,,
12.0,0.0,0,24,1,ea,0.5,ea,$0.50/ 1ea,,False,available,,default,/1/1049402.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1487.13,1049402,Coffee Bags Italian Espresso,Robert Timms,,ROBERT TIMMS COFFEE BAGS ITALIAN ESPRESSO 24PK,24 Pack,False,EVERYDAY,Ends in 140 days,,,,,,,,,,,,,
3.5,0.0,0,180,100,g,1.94,ea,$1.94/ 100g,,False,available,,default,/1/1051652.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,1051652,Blue Label Loose Leaf Tea Extra Strong,Bushells,,BUSHELLS BLUE LABEL LOOSE LEAF TEA EXTRA STRONG 180G,180g,False,EVERYDAY,Ends in 315 days,,,,,,,,,,,,,
2.75,0.0,0,50,1,ea,0.06,ea,$0.06/ 1ea,,False,available,,default,/1/1051980.jpg,Back of Store,Located in Aisle 4 at $STORE,2,Aisle 4,4.0,3079.79,1853.13,1051980,Blue Label Tea Bags,Bushells,,BUSHELLS BLUE LABEL TEA BAGS 50PK,50 Pack,False,EVERYDAY,Ends in 8 hours,,,,,,,,,,,,,
