retailer_product_id,category
8174333,baby
8174504,baby
8174741,baby
8174876,baby
8175212,baby
8175223,baby
8347577,baby
8359485,baby
8383300,baby
8383333,baby
8383413,baby
8387720,baby
8387731,baby
8387742,baby
8387753,baby
8389850,baby
8389872,baby
8390623,baby
8390634,baby
8390725,baby
8390770,baby
8390827,baby
8390860,baby
8391433,baby
8401344,baby
8402405,baby
8402427,baby
8402438,baby
8402595,baby
8402697,baby
8402824,baby
8403441,baby
8403623,baby
8403634,baby
8403656,baby
8403689,baby
8403769,baby
8403940,baby
8404604,baby
8404852,baby
8404921,baby
8405640,baby
8405651,baby
8407067,baby
8407544,baby
8407577,baby
8407588,baby
8407657,baby
8407668,baby
8407679,baby
8408150,baby
8408718,baby
8408820,baby
8409110,baby
8409120,baby
8409131,baby
8409142,baby
8409164,baby
8409991,baby
8410083,baby
8410287,baby
8410403,baby
8419350,baby
8419372,baby
8419598,baby
8419656,baby
8420407,baby
8420509,baby
8421170,baby
8421206,baby
8423019,baby
8423085,baby
8423165,baby
8423198,baby
8423223,baby
8423245,baby
8423256,baby
8423369,baby
8476445,baby
8476467,baby
8476503,baby
8476536,baby
8477710,baby
8478010,baby
8481321,baby
8481387,baby
8481398,baby
8481467,baby
8481490,baby
8481514,baby
8481525,baby
8481547,baby
8481570,baby
8481580,baby
8481605,baby
8481616,baby
8481627,baby
8481638,baby
8481660,baby
8481730,baby
8505124,baby
8505135,baby
8505146,baby
8505157,baby
8505179,baby
8537131,baby
8578671,baby
8582500,baby
8584153,baby
8593176,baby
8760904,baby
8771988,baby
8837317,baby
8842248,baby
8900989,baby
8913346,baby
8953850,baby
8953861,baby
8971885,baby
8971896,baby
8971943,baby
8988935,baby
8989086,baby
8996875,baby
8997018,baby
9009795,baby
9009810,baby
9088598,baby
9152595,baby
9153780,baby
9192749,baby
9193082,baby
9194981,baby
9208099,baby
9223434,baby
9223445,baby
9223638,baby
9224084,baby
9224095,baby
9224109,baby
9224142,baby
9224153,baby
9224211,baby
9226680,baby
9240808,baby
9263290,baby
9263304,baby
9263315,baby
9263326,baby
9263348,baby
9263392,baby
9263428,baby
9263440,baby
9263461,baby
9263472,baby
9263483,baby
9263494,baby
9263508,baby
9263519,baby
9277149,baby
9322527,baby
9522049,baby
9563320,baby
9563352,baby
9636070,baby
9636106,baby
9708670,baby
9767080,baby
9859814,baby
9860416,baby
9860427,baby
9860438,baby
9936187,baby
9960410,baby
9960476,baby
9960487,baby
9960501,baby
1047,bakery
54000,bakery
116989,bakery
128183,bakery
138074,bakery
197732,bakery
212790,bakery
224267,bakery
292223,bakery
293099,bakery
332383,bakery
332394,bakery
459125,bakery
1032421,bakery
1032830,bakery
1033209,bakery
1038483,bakery
1048137,bakery
1048148,bakery
1048159,bakery
1048181,bakery
1050503,bakery
1050730,bakery
1050762,bakery
1068190,bakery
1089305,bakery
1089349,bakery
1089429,bakery
1089553,bakery
1089848,bakery
1089859,bakery
1089892,bakery
1089906,bakery
1089917,bakery
1089928,bakery
1089939,bakery
1089940,bakery
1089950,bakery
1139480,bakery
1142033,bakery
1159003,bakery
1296445,bakery
1308216,bakery
1309241,bakery
1309274,bakery
1311414,bakery
1325871,bakery
1330805,bakery
1334410,bakery
1349461,bakery
1386537,bakery
1386606,bakery
1387132,bakery
1387154,bakery
1387165,bakery
1390873,bakery
1402655,bakery
1422244,bakery
1422288,bakery
1445421,bakery
1445884,bakery
1445895,bakery
1445909,bakery
1445920,bakery
1460389,bakery
1488934,bakery
1500304,bakery
1504757,bakery
1504779,bakery
1504815,bakery
1504837,bakery
1504860,bakery
1506719,bakery
1508270,bakery
1515458,bakery
1515469,bakery
1518220,bakery
1518693,bakery
1518707,bakery
1518795,bakery
1534306,bakery
1545980,bakery
1565150,bakery
1565172,bakery
1565208,bakery
1565241,bakery
1565263,bakery
1589396,bakery
1589410,bakery
1593236,bakery
1593305,bakery
1594840,bakery
1594862,bakery
1597124,bakery
1597180,bakery
1600466,bakery
1600488,bakery
1600499,bakery
1600524,bakery
1600535,bakery
1600546,bakery
1600557,bakery
1600568,bakery
1609325,bakery
